time,Bx,By,Bz,BT,point
4.575524,-48.68880000000001,6.119300000000002,-36.0931,60.91570000000001,22
4.58426,-48.67700000000001,6.1199,-36.109300000000005,60.915800000000004,22
4.594149,-48.665200000000006,6.121100000000001,-36.126200000000004,60.9164,22
4.604173,-48.6472,6.119800000000001,-36.140600000000006,60.9104,22
4.614129,-48.62840000000002,6.1253,-36.15070000000001,60.90210000000001,22
4.624772,-48.604600000000005,6.136400000000001,-36.15390000000001,60.88640000000001,22
4.634402,-48.58030000000001,6.147500000000001,-36.156600000000005,60.86990000000001,22
4.644711,-48.561000000000014,6.158000000000001,-36.157500000000006,60.856300000000005,22
4.654835,-48.54850000000002,6.163500000000001,-36.1521,60.844,22
4.664369,-48.54720000000001,6.1678000000000015,-36.134100000000004,60.8331,22
4.674458,-48.557100000000005,6.169000000000001,-36.1047,60.82420000000001,22
4.684364,-48.5789,6.170800000000002,-36.0621,60.81710000000001,22
4.696224,-48.608200000000004,6.1644000000000005,-36.01690000000001,60.81360000000001,22
4.715343,-48.650000000000006,6.1511000000000005,-35.97860000000001,60.82340000000001,22
4.717562,-48.6988,6.1235,-35.946600000000004,60.84090000000001,22
4.724637,-48.750200000000014,6.0853,-35.92770000000001,60.867000000000004,22
4.734437,-48.800200000000004,6.043900000000001,-35.91430000000001,60.8951,22
4.74491,-48.84020000000001,6.0044,-35.911500000000004,60.9216,22
4.754457,-48.8665,5.970600000000001,-35.923700000000004,60.94660000000001,22
4.764636,-48.8784,5.942400000000001,-35.95720000000001,60.97320000000001,22
4.781688,-48.87590000000001,5.926800000000001,-36.0109,61.00150000000001,22
4.784664,-48.85840000000001,5.923700000000001,-36.0822,61.02940000000002,22
4.801209,-48.82720000000001,5.935700000000001,-36.16420000000001,61.054200000000016,22
4.804583,-48.78220000000001,5.9621,-36.2461,61.06940000000001,22
4.814795,-48.72720000000001,6.002900000000001,-36.3311,61.08000000000001,22
4.825123,-48.670800000000014,6.055500000000001,-36.410500000000006,61.08750000000001,22
4.83446,-48.615800000000014,6.115700000000001,-36.4925,61.09830000000001,22
4.844739,-48.56580000000002,6.179600000000001,-36.568200000000004,61.10990000000001,22
4.854469,-48.52390000000001,6.240900000000001,-36.6328,61.12100000000001,22
4.864784,-48.48890000000001,6.3009,-36.678700000000006,61.126400000000004,22
4.883678,-48.460800000000006,6.356400000000001,-36.7051,61.12530000000001,22
4.885502,-48.44010000000001,6.4057,-36.717600000000004,61.121400000000015,22
4.90315,-48.424400000000006,6.449400000000001,-36.71880000000001,61.114300000000014,22
4.90574,-48.41000000000001,6.484400000000001,-36.71640000000001,61.10520000000001,22
4.914561,-48.4006,6.5106,-36.705200000000005,61.09390000000001,22
4.924624,-48.390699999999995,6.525,-36.693400000000004,61.0805,22
4.934602,-48.3826,6.527400000000001,-36.6753,61.0636,22
4.944546,-48.3789,6.515499999999999,-36.6604,61.0504,22
4.954486,-48.382099999999994,6.4968,-36.65220000000001,61.04610000000001,22
4.964468,-48.3934,6.470000000000001,-36.65080000000001,61.05150000000002,22
4.97456,-48.416,6.432,-36.653200000000005,61.06690000000002,22
4.985704,-48.450599999999994,6.3858000000000015,-36.65200000000001,61.08870000000002,22
5.004716,-48.49829999999999,6.3333,-36.6452,61.11680000000001,22
5.006633,-48.5604,6.277000000000001,-36.62830000000001,61.150000000000006,22
5.014597,-48.6268,6.2213,-36.6058,61.18340000000001,22
5.024542,-48.69819999999999,6.170000000000001,-36.571400000000004,61.21410000000001,22
5.034808,-48.7677,6.123800000000001,-36.53010000000001,61.23980000000001,22
5.046022,-48.8315,6.085000000000001,-36.47820000000001,61.25560000000001,22
5.054481,-48.8878,6.053000000000001,-36.422000000000004,61.26360000000001,22
5.064426,-48.9342,6.026000000000001,-36.3665,61.2646,22
5.088508,-48.963699999999996,6.0078000000000005,-36.3153,61.255700000000004,22
5.091014,-48.978199999999994,6.0003,-36.272800000000004,61.2411,22
5.094524,-48.98329999999999,5.999600000000001,-36.2391,61.225100000000005,22
5.10878,-48.97840000000001,6.005700000000001,-36.214200000000005,61.207,22
5.117858,-48.972899999999996,6.0143,-36.1955,61.19240000000001,22
5.124502,-48.96730000000001,6.0254,-36.183,61.18190000000001,22
5.134514,-48.96169999999999,6.036499999999999,-36.1717,61.1721,22
5.14457,-48.959300000000006,6.0514,-36.161,61.16550000000001,22
5.154707,-48.95750000000001,6.0664,-36.14660000000001,61.15710000000001,22
5.170192,-48.9569,6.082,-36.12900000000001,61.14780000000002,22
5.174539,-48.9593,6.096900000000001,-36.114000000000004,61.142400000000016,22
5.184624,-48.961600000000004,6.109300000000002,-36.096500000000006,61.135300000000015,22
5.194504,-48.95580000000001,6.123700000000001,-36.07770000000001,61.12110000000001,22
5.204632,-48.9406,6.141300000000001,-36.0651,61.10350000000002,22
5.216159,-48.91170000000001,6.165800000000001,-36.060100000000006,61.08020000000002,22
5.224936,-48.86780000000002,6.193400000000001,-36.0652,61.05120000000001,22
5.234374,-48.81710000000001,6.229100000000001,-36.0804,61.02340000000001,22
5.244522,-48.75760000000002,6.2679,-36.1024,60.993000000000016,22
5.254451,-48.69430000000001,6.3123000000000005,-36.1262,60.961300000000016,22
5.26454,-48.627200000000016,6.359800000000001,-36.153800000000004,60.92930000000001,22
5.274463,-48.560900000000004,6.408600000000001,-36.1794,60.896800000000006,22
5.289502,-48.50030000000002,6.4567000000000005,-36.206900000000005,60.8699,22
5.294591,-48.45280000000001,6.5004,-36.235,60.853300000000004,22
5.304468,-48.42340000000001,6.5360000000000005,-36.2575,60.846900000000005,22
5.314406,-48.41090000000001,6.557899999999999,-36.27490000000001,60.8494,22
5.324818,-48.415400000000005,6.569199999999999,-36.2916,60.863800000000005,22
5.334971,-48.43050000000001,6.565499999999999,-36.3077,60.88490000000001,22
5.344645,-48.45880000000001,6.5506,-36.327,60.917200000000015,22
5.354493,-48.49470000000001,6.5225,-36.3501,60.95630000000001,22
5.364524,-48.53870000000001,6.4851,-36.37,60.99890000000001,22
5.374565,-48.58700000000001,6.4439,-36.385,61.04160000000001,22
5.390814,-48.63340000000001,6.400300000000001,-36.397499999999994,61.08100000000001,22
5.394703,-48.67300000000001,6.3597,-36.4107,61.11580000000001,22
5.404568,-48.70330000000001,6.3241000000000005,-36.421400000000006,61.14220000000001,22
5.414512,-48.72730000000001,6.298400000000001,-36.4272,61.16180000000001,22
